variant,seed,step,action,forced_execute,score_Execute_Ready_Job,score_Defer_Job,score_Scale_Up,score_Scale_Down,score_Reprioritize_Queue,score_Pause_LowPriority_Job
reference_phase1,100,169,Scale_Up,False,5.77602,-7.4972,120.3172,-20.0,0.9986,17.4
reference_phase1,100,170,Execute_Ready_Job,True,6.37402,-7.5,-25.0,-20.0,1.0,17.4
reference_phase1,100,171,Execute_Ready_Job,True,6.35802,-7.5,-25.0,-20.0,1.0,17.4
reference_phase1,100,172,Execute_Ready_Job,True,6.36402,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,173,Execute_Ready_Job,True,6.35002,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,174,Execute_Ready_Job,True,6.35602,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,175,Execute_Ready_Job,True,5.570647,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,176,Execute_Ready_Job,True,5.567047,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,177,Execute_Ready_Job,True,5.69652,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,178,Execute_Ready_Job,True,5.69252,-7.504,-6.0,-20.0,1.002,17.4
reference_phase1,100,179,Scale_Up,False,5.220547,-7.504,117.724,-20.0,1.002,17.4
reference_phase1,100,180,Execute_Ready_Job,True,5.556247,-7.506,-25.0,-20.0,1.003,17.4
reference_phase1,100,181,Execute_Ready_Job,True,5.543647,-7.506,-25.0,-20.0,1.003,17.4
reference_phase1,100,182,Execute_Ready_Job,True,5.549047,-7.506,-6.0,-20.0,1.003,17.4
reference_phase1,100,183,Execute_Ready_Job,True,5.541847,-7.506,-6.0,-20.0,1.003,17.4
reference_phase1,100,184,Execute_Ready_Job,True,5.543647,-7.506,-6.0,-20.0,1.003,17.4
reference_phase1,100,185,Execute_Ready_Job,True,5.550847,-7.518,-6.0,-20.0,1.009,17.4
reference_phase1,100,186,Execute_Ready_Job,True,5.554447,-7.518,-6.0,-20.0,1.009,17.4
reference_phase1,100,187,Execute_Ready_Job,True,5.567047,-7.518,-6.0,-20.0,1.009,17.4
reference_phase1,100,188,Execute_Ready_Job,True,5.556247,-7.518,-6.0,-20.0,1.009,17.4
reference_phase1,100,189,Execute_Ready_Job,True,5.554447,-7.518,-6.0,-20.0,1.009,17.4
reference_phase1,100,190,Execute_Ready_Job,True,5.240047,-7.3616,-6.0,-20.0,1.2108,18.2
reference_phase1,100,191,Execute_Ready_Job,True,5.540047,-7.5216,-6.0,-20.0,1.0108,17.4
reference_phase1,100,192,Execute_Ready_Job,True,5.552647,-7.528,-6.0,-20.0,1.014,17.4
reference_phase1,100,193,Execute_Ready_Job,True,5.545447,-7.528,-6.0,-20.0,1.014,17.4
reference_phase1,100,194,Execute_Ready_Job,True,5.532847,-7.528,-6.0,-20.0,1.014,17.4
reference_phase1,100,195,Execute_Ready_Job,True,5.547247,-7.528,-6.0,-20.0,1.014,17.4
reference_phase1,100,196,Execute_Ready_Job,True,5.550847,-7.5392,-6.0,-20.0,1.0196,17.4
reference_phase1,100,197,Execute_Ready_Job,True,5.540047,-7.5392,-6.0,-20.0,1.0196,17.4
reference_phase1,100,198,Execute_Ready_Job,True,4.73948,-7.5032,-6.0,-20.0,1.0196,17.58
reference_phase1,100,199,Execute_Ready_Job,True,4.72908,-7.4552,-6.0,-20.0,1.0196,17.82
reference_phase1,100,200,Pause_LowPriority_Job,False,4.71608,-7.3884,-6.0,-20.0,1.0162,18.12
reference_phase1,100,201,Pause_LowPriority_Job,False,4.70568,-7.3404,-6.0,-20.0,1.0162,18.36
reference_phase1,100,202,Pause_LowPriority_Job,False,4.69528,-7.2924,-6.0,-20.0,1.0162,18.6
reference_phase1,100,203,Pause_LowPriority_Job,False,4.69528,-7.2924,-6.0,-20.0,1.0162,18.6
reference_phase1,100,204,Pause_LowPriority_Job,False,4.70048,-7.3232,-6.0,-20.0,1.0196,17.28
reference_phase1,100,205,Pause_LowPriority_Job,False,4.70828,-7.3592,-6.0,-20.0,1.0196,17.1
reference_phase1,100,206,Pause_LowPriority_Job,False,4.70048,-7.3232,-6.0,-20.0,1.0196,17.28
reference_phase1,100,207,Pause_LowPriority_Job,False,4.71088,-7.3712,-6.0,-20.0,1.0196,17.04
reference_phase1,100,208,Pause_LowPriority_Job,False,4.71088,-7.3712,-6.0,-20.0,1.0196,17.04
reference_phase1,100,209,Pause_LowPriority_Job,False,4.70568,-7.3472,-6.0,-20.0,1.0196,17.16
reference_phase1,100,210,Pause_LowPriority_Job,False,4.69528,-7.2992,-6.0,-20.0,1.0196,17.4
reference_phase1,100,211,Pause_LowPriority_Job,False,4.69528,-7.2992,-6.0,-20.0,1.0196,17.4
reference_phase1,100,212,Pause_LowPriority_Job,False,4.70568,-7.3472,-6.0,-20.0,1.0196,17.16
reference_phase1,100,213,Pause_LowPriority_Job,False,4.69528,-7.2992,-6.0,-20.0,1.0196,17.4
reference_phase1,100,214,Pause_LowPriority_Job,False,4.70828,-7.3592,-6.0,-20.0,1.0196,17.1
reference_phase1,100,215,Pause_LowPriority_Job,False,4.70308,-7.3352,-6.0,-20.0,1.0196,17.22
reference_phase1,100,216,Pause_LowPriority_Job,False,4.69528,-7.2992,-6.0,-20.0,1.0196,17.4
reference_phase1,100,217,Pause_LowPriority_Job,False,4.71088,-7.3712,-6.0,-20.0,1.0196,17.04
reference_phase1,100,218,Pause_LowPriority_Job,False,4.69788,-7.3112,-6.0,-20.0,1.0196,17.34
reference_phase1,100,219,Pause_LowPriority_Job,False,4.70828,-7.3592,-6.0,-20.0,1.0196,17.1
reference_phase1,100,220,Pause_LowPriority_Job,False,4.72128,-7.4192,-6.0,-20.0,1.0196,16.8
reference_phase1,100,221,Pause_LowPriority_Job,False,4.70048,-7.3232,-6.0,-20.0,1.0196,17.28
reference_phase1,100,222,Pause_LowPriority_Job,False,4.71088,-7.3712,-6.0,-20.0,1.0196,17.04
reference_phase1,100,223,Execute_Ready_Job,True,4.73168,-7.4672,-6.0,-20.0,1.0196,16.56
reference_phase1,100,224,Execute_Ready_Job,True,4.73688,-7.4912,-6.0,-20.0,1.0196,16.44
reference_phase1,100,225,Execute_Ready_Job,True,4.73948,-7.5032,-6.0,-20.0,1.0196,16.38
reference_phase1,100,226,Execute_Ready_Job,True,4.74728,-7.5392,-6.0,-20.0,1.0196,16.2
reference_phase1,100,227,Execute_Ready_Job,True,4.73948,-7.5032,-6.0,-20.0,1.0196,16.38
reference_phase1,100,228,Execute_Ready_Job,True,4.73688,-7.4912,-6.0,-20.0,1.0196,16.44
reference_phase1,100,229,Execute_Ready_Job,True,4.43948,-7.332,-6.0,-20.0,1.214,17.18
reference_phase1,100,230,Execute_Ready_Job,True,4.45768,-7.374,-6.0,-20.0,1.217,17.0
reference_phase1,100,231,Execute_Ready_Job,True,4.75248,-7.534,-6.0,-20.0,1.017,16.2
reference_phase1,100,232,Execute_Ready_Job,True,4.73688,-7.4784,-6.0,-20.0,1.0132,16.44
reference_phase1,100,233,Execute_Ready_Job,True,4.75768,-7.5264,-6.0,-20.0,1.0132,16.2
reference_phase1,100,234,Execute_Ready_Job,True,4.47588,-7.3728,-6.0,-20.0,1.2164,17.0
reference_phase1,100,235,Execute_Ready_Job,True,4.78368,-7.5328,-6.0,-20.0,1.0164,16.2
reference_phase1,100,236,Execute_Ready_Job,True,4.76808,-7.5328,-6.0,-20.0,1.0164,16.2
reference_phase1,100,237,Execute_Ready_Job,True,4.75248,-7.5328,-6.0,-20.0,1.0164,16.2
reference_phase1,100,238,Execute_Ready_Job,True,4.73428,-7.4728,-6.0,-20.0,1.0164,16.5
reference_phase1,100,239,Pause_LowPriority_Job,False,4.71608,-7.3888,-6.0,-20.0,1.0164,16.92
reference_phase1,100,240,Pause_LowPriority_Job,False,4.70308,-7.3288,-6.0,-20.0,1.0164,17.22
reference_phase1,100,241,Pause_LowPriority_Job,False,4.71608,-7.3888,-6.0,-20.0,1.0164,16.92
reference_phase1,100,242,Execute_Ready_Job,True,4.73428,-7.4728,-6.0,-20.0,1.0164,16.5
reference_phase1,100,243,Execute_Ready_Job,True,4.73428,-7.4728,-6.0,-20.0,1.0164,16.5
reference_phase1,100,244,Scale_Up,False,4.12908,-7.4488,57.0728,-20.0,1.0164,16.62
reference_phase1,100,245,Execute_Ready_Job,True,4.73168,-7.4588,-25.0,-20.0,1.0154,16.56
reference_phase1,100,246,Execute_Ready_Job,True,4.74468,-7.5188,-25.0,-20.0,1.0154,16.26
reference_phase1,100,247,Scale_Up,False,-10000.0,-7.4348,166.9908,-20.0,1.0154,16.68
reference_phase1,100,248,Execute_Ready_Job,True,4.74208,-7.496,-25.0,-20.0,1.01,16.32
reference_phase1,100,249,Execute_Ready_Job,True,4.43168,-7.3004,-25.0,-22.84,1.2162,17.36
reference_phase1,100,250,Execute_Ready_Job,True,4.72388,-7.4244,-6.0,-20.0,1.0162,16.74
reference_phase1,100,251,Execute_Ready_Job,True,4.72648,-7.4364,-6.0,-20.0,1.0162,16.68
reference_phase1,100,252,Execute_Ready_Job,True,4.44468,-7.5204,-6.0,-20.0,1.0162,16.26
reference_phase1,100,253,Scale_Up,False,4.12908,-7.4484,53.0724,-20.0,1.0162,16.62
reference_phase1,100,254,Pause_LowPriority_Job,False,4.71608,-7.3884,-25.0,-20.0,1.0162,16.92
