variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
beta_0,1.0,0.0,1.0,118,Zero out beta only.,300,58,22,0.58,0.6376899287347048,413.83,0,268,0,32,0,0,0
beta_0,1.0,0.0,1.0,119,Zero out beta only.,300,57,22,0.57,0.614982690088473,503.294,0,269,0,31,0,0,0
gamma_0,1.0,0.1,0.0,100,Zero out gamma only.,300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
gamma_0,1.0,0.1,0.0,101,Zero out gamma only.,300,57,21,0.57,0.631960623461854,755.75,0,274,0,21,0,0,5
gamma_0,1.0,0.1,0.0,102,Zero out gamma only.,300,58,18,0.58,0.6250197991573478,579.454,0,263,0,32,0,0,5
gamma_0,1.0,0.1,0.0,103,Zero out gamma only.,300,68,16,0.68,0.7221839713577527,396.792,0,278,0,22,0,0,0
gamma_0,1.0,0.1,0.0,104,Zero out gamma only.,300,59,10,0.59,0.6719961704164671,721.95,0,246,0,28,0,0,26
gamma_0,1.0,0.1,0.0,105,Zero out gamma only.,300,29,8,0.29,0.3519968157091681,415.088,0,128,0,8,0,0,164
gamma_0,1.0,0.1,0.0,106,Zero out gamma only.,300,63,11,0.63,0.7218628313026002,524.688,0,270,0,29,0,0,1
gamma_0,1.0,0.1,0.0,107,Zero out gamma only.,300,48,8,0.48,0.5821107094762208,531.738,0,203,0,18,0,0,79
gamma_0,1.0,0.1,0.0,108,Zero out gamma only.,300,58,9,0.58,0.6234393100785173,714.438,0,237,0,23,0,0,40
gamma_0,1.0,0.1,0.0,109,Zero out gamma only.,300,48,20,0.48,0.566701717490361,629.366,0,227,0,31,0,0,42
gamma_0,1.0,0.1,0.0,110,Zero out gamma only.,300,56,15,0.56,0.6661017523641664,769.63,0,249,0,25,0,0,26
gamma_0,1.0,0.1,0.0,111,Zero out gamma only.,300,45,9,0.45,0.5333382833382833,587.258,0,187,0,29,0,0,84
gamma_0,1.0,0.1,0.0,112,Zero out gamma only.,300,46,11,0.46,0.5462513130252101,441.846,0,199,0,17,0,0,84
gamma_0,1.0,0.1,0.0,113,Zero out gamma only.,300,61,18,0.61,0.6544182273003853,324.922,0,264,0,35,0,0,1
gamma_0,1.0,0.1,0.0,114,Zero out gamma only.,300,64,15,0.64,0.6850971780669266,429.658,0,275,0,25,0,0,0
gamma_0,1.0,0.1,0.0,115,Zero out gamma only.,300,38,10,0.38,0.4947068124011824,558.382,0,169,0,16,0,0,115
gamma_0,1.0,0.1,0.0,116,Zero out gamma only.,300,58,15,0.58,0.6475274528098758,717.018,0,259,0,30,0,0,11
gamma_0,1.0,0.1,0.0,117,Zero out gamma only.,300,56,13,0.56,0.6579441954604597,368.954,0,238,0,25,0,0,37
gamma_0,1.0,0.1,0.0,118,Zero out gamma only.,300,58,22,0.58,0.6376899287347048,413.83,0,268,0,32,0,0,0
gamma_0,1.0,0.1,0.0,119,Zero out gamma only.,300,57,22,0.57,0.614982690088473,503.294,0,269,0,31,0,0,0
all_zero,0.0,0.0,0.0,100,Zero out all three utility weights (extreme ablation).,300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
all_zero,0.0,0.0,0.0,101,Zero out all three utility weights (extreme ablation).,300,57,21,0.57,0.631960623461854,755.75,0,274,0,21,0,0,5
all_zero,0.0,0.0,0.0,102,Zero out all three utility weights (extreme ablation).,300,58,18,0.58,0.6250197991573478,579.454,0,263,0,32,0,0,5
all_zero,0.0,0.0,0.0,103,Zero out all three utility weights (extreme ablation).,300,68,16,0.68,0.7221839713577527,396.792,0,278,0,22,0,0,0
all_zero,0.0,0.0,0.0,104,Zero out all three utility weights (extreme ablation).,300,59,10,0.59,0.6719961704164671,721.95,0,246,0,28,0,0,26
all_zero,0.0,0.0,0.0,105,Zero out all three utility weights (extreme ablation).,300,29,8,0.29,0.3519968157091681,415.088,0,128,0,8,0,0,164
all_zero,0.0,0.0,0.0,106,Zero out all three utility weights (extreme ablation).,300,63,11,0.63,0.7218628313026002,524.688,0,270,0,29,0,0,1
all_zero,0.0,0.0,0.0,107,Zero out all three utility weights (extreme ablation).,300,48,8,0.48,0.5821107094762208,531.738,0,203,0,18,0,0,79
all_zero,0.0,0.0,0.0,108,Zero out all three utility weights (extreme ablation).,300,58,9,0.58,0.6234393100785173,714.438,0,237,0,23,0,0,40
all_zero,0.0,0.0,0.0,109,Zero out all three utility weights (extreme ablation).,300,48,20,0.48,0.566701717490361,629.366,0,227,0,31,0,0,42
all_zero,0.0,0.0,0.0,110,Zero out all three utility weights (extreme ablation).,300,56,15,0.56,0.6661017523641664,769.63,0,249,0,25,0,0,26
all_zero,0.0,0.0,0.0,111,Zero out all three utility weights (extreme ablation).,300,45,9,0.45,0.5333382833382833,587.258,0,187,0,29,0,0,84
all_zero,0.0,0.0,0.0,112,Zero out all three utility weights (extreme ablation).,300,46,11,0.46,0.5462513130252101,441.846,0,199,0,17,0,0,84
all_zero,0.0,0.0,0.0,113,Zero out all three utility weights (extreme ablation).,300,61,18,0.61,0.6544182273003853,324.922,0,264,0,35,0,0,1
all_zero,0.0,0.0,0.0,114,Zero out all three utility weights (extreme ablation).,300,64,15,0.64,0.6850971780669266,429.658,0,275,0,25,0,0,0
all_zero,0.0,0.0,0.0,115,Zero out all three utility weights (extreme ablation).,300,38,10,0.38,0.4947068124011824,558.382,0,169,0,16,0,0,115
all_zero,0.0,0.0,0.0,116,Zero out all three utility weights (extreme ablation).,300,58,15,0.58,0.6475274528098758,717.018,0,259,0,30,0,0,11
all_zero,0.0,0.0,0.0,117,Zero out all three utility weights (extreme ablation).,300,56,13,0.56,0.6579441954604597,368.954,0,238,0,25,0,0,37
all_zero,0.0,0.0,0.0,118,Zero out all three utility weights (extreme ablation).,300,58,22,0.58,0.6376899287347048,413.83,0,268,0,32,0,0,0
all_zero,0.0,0.0,0.0,119,Zero out all three utility weights (extreme ablation).,300,57,22,0.57,0.614982690088473,503.294,0,269,0,31,0,0,0
alpha_100,100.0,0.1,1.0,100,alpha=100 (should strongly prefer execute).,300,63,17,0.63,0.7185557465943658,655.928,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,101,alpha=100 (should strongly prefer execute).,300,61,23,0.61,0.6635274815422477,464.398,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,102,alpha=100 (should strongly prefer execute).,300,59,24,0.59,0.6397186935724015,820.988,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,103,alpha=100 (should strongly prefer execute).,300,65,17,0.65,0.6870696777747177,305.876,0,294,0,6,0,0,0
alpha_100,100.0,0.1,1.0,104,alpha=100 (should strongly prefer execute).,300,63,11,0.63,0.7306207116642731,810.834,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,105,alpha=100 (should strongly prefer execute).,300,63,18,0.63,0.6861151651850869,739.148,0,296,0,4,0,0,0
alpha_100,100.0,0.1,1.0,106,alpha=100 (should strongly prefer execute).,300,65,9,0.65,0.7366850898128376,563.434,0,297,0,3,0,0,0
alpha_100,100.0,0.1,1.0,107,alpha=100 (should strongly prefer execute).,300,65,15,0.65,0.7226947338578212,572.746,0,298,0,2,0,0,0
alpha_100,100.0,0.1,1.0,108,alpha=100 (should strongly prefer execute).,300,68,13,0.68,0.7322370961513709,633.634,0,291,0,9,0,0,0
alpha_100,100.0,0.1,1.0,109,alpha=100 (should strongly prefer execute).,300,63,21,0.63,0.6717840869260427,636.306,0,299,0,1,0,0,0
alpha_100,100.0,0.1,1.0,110,alpha=100 (should strongly prefer execute).,300,67,12,0.67,0.7149781378164931,959.382,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,111,alpha=100 (should strongly prefer execute).,300,63,15,0.63,0.6860706860706861,800.206,0,293,0,7,0,0,0
alpha_100,100.0,0.1,1.0,112,alpha=100 (should strongly prefer execute).,300,67,11,0.67,0.7065388655462186,844.01,0,296,0,4,0,0,0
alpha_100,100.0,0.1,1.0,113,alpha=100 (should strongly prefer execute).,300,61,21,0.61,0.6608072476505983,465.546,0,297,0,3,0,0,0
alpha_100,100.0,0.1,1.0,114,alpha=100 (should strongly prefer execute).,300,65,14,0.65,0.7160368391727573,554.01,0,294,0,6,0,0,0
alpha_100,100.0,0.1,1.0,115,alpha=100 (should strongly prefer execute).,300,66,15,0.66,0.7343094796177907,1024.32,0,296,0,4,0,0,0
alpha_100,100.0,0.1,1.0,116,alpha=100 (should strongly prefer execute).,300,62,14,0.62,0.6844541735448215,964.582,0,292,0,8,0,0,0
alpha_100,100.0,0.1,1.0,117,alpha=100 (should strongly prefer execute).,300,67,13,0.67,0.7425907185195895,458.496,0,295,0,5,0,0,0
alpha_100,100.0,0.1,1.0,118,alpha=100 (should strongly prefer execute).,300,60,25,0.6,0.6515059835955358,407.726,0,296,0,4,0,0,0
alpha_100,100.0,0.1,1.0,119,alpha=100 (should strongly prefer execute).,300,59,24,0.59,0.6456276445698167,635.538,0,295,0,5,0,0,0
beta_100,1.0,100.0,1.0,100,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,101,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,102,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,103,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,104,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,105,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,106,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,107,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,108,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,109,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,110,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,111,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,112,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,113,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,114,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,115,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,116,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,117,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,118,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_100,1.0,100.0,1.0,119,beta=100 (cost dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,100,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,101,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,102,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,103,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,104,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
